
3233,5-6,5,success,147.473,0.627107,2020-08-03 13:06:34.056175,2020-08-03 13:06:34.683282,2020-08-03 13:06:34.684846
3233,6-7,3,success,146.824,0.161669,2020-08-03 13:06:34.691735,2020-08-03 13:06:34.853404,2020-08-03 13:06:34.853728
3233,7-8,2,success,147.328,0.139129,2020-08-03 13:06:34.856453,2020-08-03 13:06:34.995582,2020-08-03 13:06:34.995890
3233,8-9,2,success,147.848,0.137672,2020-08-03 13:06:34.998644,2020-08-03 13:06:35.136316,2020-08-03 13:06:35.136581
3233,9-10,2,success,148.121,0.137477,2020-08-03 13:06:35.139616,2020-08-03 13:06:35.277093,2020-08-03 13:06:35.277407
3233,10-11,2,success,148.129,0.13793,2020-08-03 13:06:35.280293,2020-08-03 13:06:35.418223,2020-08-03 13:06:35.418425
3233,11-12,2,success,148.133,0.13975,2020-08-03 13:06:35.421075,2020-08-03 13:06:35.560825,2020-08-03 13:06:35.561098
3233,12-13,4,success,147.891,0.137635,2020-08-03 13:06:35.563647,2020-08-03 13:06:35.701282,2020-08-03 13:06:35.701589
3233,13-14,2,success,148.16,0.159593,2020-08-03 13:06:35.704236,2020-08-03 13:06:35.863829,2020-08-03 13:06:35.864106
3233,14-15,2,success,148.316,0.137455,2020-08-03 13:06:35.866710,2020-08-03 13:06:36.004165,2020-08-03 13:06:36.004379
3233,15-16,2,success,148.324,0.137841,2020-08-03 13:06:36.007030,2020-08-03 13:06:36.144871,2020-08-03 13:06:36.145214
3233,16-17,3,success,148.332,0.136422,2020-08-03 13:06:36.148177,2020-08-03 13:06:36.284599,2020-08-03 13:06:36.284824
3233,17-18,2,success,148.332,0.138353,2020-08-03 13:06:36.287614,2020-08-03 13:06:36.425967,2020-08-03 13:06:36.426447
3233,18-19,2,success,148.336,0.13902,2020-08-03 13:06:36.428993,2020-08-03 13:06:36.568013,2020-08-03 13:06:36.568439
3233,19-20,2,success,148.34,0.159516,2020-08-03 13:06:36.571098,2020-08-03 13:06:36.730614,2020-08-03 13:06:36.730898
3233,20-21,3,success,148.34,0.138675,2020-08-03 13:06:36.733547,2020-08-03 13:06:36.872222,2020-08-03 13:06:36.872507
3233,21-22,2,success,148.348,0.138126,2020-08-03 13:06:36.875063,2020-08-03 13:06:37.013189,2020-08-03 13:06:37.013607
3233,22-23,2,success,148.348,0.13753,2020-08-03 13:06:37.016706,2020-08-03 13:06:37.154236,2020-08-03 13:06:37.154530
3233,23-24,3,success,148.348,0.14055,2020-08-03 13:06:37.157135,2020-08-03 13:06:37.297685,2020-08-03 13:06:37.297932
3233,24-25,2,success,148.352,0.138113,2020-08-03 13:06:37.300825,2020-08-03 13:06:37.438938,2020-08-03 13:06:37.439426
3233,25-26,2,success,148.352,0.158229,2020-08-03 13:06:37.441998,2020-08-03 13:06:37.600227,2020-08-03 13:06:37.600476
3233,26-27,2,success,148.352,0.198266,2020-08-03 13:06:37.603642,2020-08-03 13:06:37.801908,2020-08-03 13:06:37.802162
