ap_id,timestamp,latitude,longitude
3233,2019-07-01 00:10:29.000000,28.214584999999996,83.956257
3233,2019-07-01 00:10:25.000000,28.214584999999996,83.956257
3233,2019-07-01 00:10:22.000000,28.214584999999996,83.956257
3233,2019-07-01 00:09:59.000000,28.214584999999996,83.956257
3233,2019-07-01 00:09:55.000000,28.214584999999996,83.956257
3233,2019-07-01 00:09:33.000000,28.212733,83.961646
3233,2019-07-01 00:09:29.000000,28.212733,83.961646
3233,2019-07-01 00:09:25.000000,28.212733,83.961646
3233,2019-07-01 00:08:07.000000,28.238052000000003,83.98448499999998
3233,2019-07-01 00:08:05.000000,28.238052000000003,83.98448499999998
3233,2019-07-01 00:07:49.000000,28.237854,83.984712
3233,2019-07-01 00:07:44.000000,28.237854,83.984712
3233,2019-07-01 00:07:31.000000,28.237854,83.984712
3233,2019-07-01 00:07:23.000000,28.237854,83.984712
3233,2019-07-01 00:06:59.000000,28.237854,83.984712
3233,2019-07-01 00:06:44.000000,28.237854,83.984712
3233,2019-07-01 00:06:38.000000,28.231803999999997,83.990951
3233,2019-07-01 00:06:01.000000,28.231803999999997,83.990951
3233,2019-07-01 00:04:24.000000,28.200453000000003,83.944298
3233,2019-07-01 00:04:19.000000,28.200453000000003,83.944298
3233,2019-07-01 00:04:16.000000,28.200453000000003,83.944298
3233,2019-07-01 00:04:12.000000,28.200453000000003,83.944298
3233,2019-01-07 00:04:27.250000,28.2004072,83.9437193
3233,2019-01-07 00:04:27.093750,28.200436,83.9438777
3233,2019-01-07 00:04:26.937500,28.2004487,83.9439592
3233,2019-01-07 00:04:26.781250,28.2004663,83.9440367
3233,2019-01-07 00:04:26.625000,28.2004683,83.9441037
3233,2019-01-07 00:04:27.875000,28.200336,83.9433453
3233,2019-01-07 00:04:27.562500,28.2003684,83.9435103
3233,2019-01-07 00:04:28.500000,28.2003436,83.9433065
3233,2019-01-07 00:04:29.125000,28.2003621,83.9432892
3233,2019-01-07 00:04:29.750000,28.2004065,83.9432858
3233,2019-01-07 00:04:30.375000,28.2004492,83.9433256
3233,2019-01-07 00:04:31.000000,28.2005303,83.9435108
3233,2019-01-07 00:04:31.624999,28.200623,83.9438186
3233,2019-01-07 00:04:31.416666,28.2006044,83.9437614
3233,2019-01-07 00:04:31.208333,28.2005686,83.9436253
3233,2019-01-07 00:04:32.250000,28.2006663,83.9438343
3233,2019-01-07 00:04:31.625000,28.200623,83.9438186
3233,2019-01-07 00:04:32.875000,28.2007038,83.943803
3233,2019-01-07 00:04:33.500000,28.2007259,83.9437496
3233,2019-01-07 00:04:34.125000,28.2006691,83.9434463
3233,2019-01-07 00:04:33.812500,28.2007114,83.9436376
3233,2019-01-07 00:04:34.750000,28.2006669,83.943342
3233,2019-01-07 00:04:35.375000,28.2006252,83.9432166
3233,2019-01-07 00:04:36.000000,28.2005326,83.9430867
3233,2019-01-07 00:04:36.625000,28.2004688,83.9429348
3233,2019-01-07 00:04:36.312500,28.2005,83.9430201
3233,2019-01-07 00:04:37.250000,28.2003828,83.9424705
3233,2019-01-07 00:04:37.875000,28.2003943,83.9422725
3233,2019-01-07 00:04:38.500000,28.2004762,83.9419971
3233,2019-01-07 00:04:38.187500,28.2004389,83.9421141
3233,2019-01-07 00:04:39.125000,28.2004747,83.9419312
3233,2019-01-07 00:04:39.750000,28.2004093,83.9417513
3233,2019-01-07 00:04:40.375000,28.2002782,83.9415504
3233,2019-01-07 00:04:41.000000,28.2001814,83.9415004
3233,2019-01-07 00:04:41.625000,28.2000264,83.9414508
3233,2019-01-07 00:04:41.312500,28.2000947,83.9414709
3233,2019-01-07 00:04:42.250000,28.1999917,83.9414161
3233,2019-01-07 00:04:42.875000,28.1999893,83.9413432
3233,2019-01-07 00:04:43.500000,28.2000078,83.9412962
3233,2019-01-07 00:04:44.125000,28.2003335,83.9410876
3233,2019-01-07 00:04:43.812500,28.2001746,83.9411902
3233,2019-01-07 00:04:44.750000,28.2006748,83.940911
3233,2019-01-07 00:04:45.375000,28.2010564,83.9407444
3233,2019-01-07 00:04:46.555556,28.2015377,83.940578
3233,2019-01-07 00:04:45.965278,28.2014039,83.9406882
3233,2019-01-07 00:04:47.111111,28.2015587,83.9407546
3233,2019-01-07 00:04:46.555555,28.2015377,83.940578
3233,2019-01-07 00:04:47.666666,28.2013602,83.9412654
3233,2019-01-07 00:04:47.481481,28.2014559,83.9409979
3233,2019-01-07 00:04:47.296296,28.2015268,83.9408512
3233,2019-01-07 00:04:48.222222,28.2013673,83.9413679
3233,2019-01-07 00:04:48.777777,28.2013904,83.9414685
3233,2019-01-07 00:04:49.333333,28.2014028,83.9416836
3233,2019-01-07 00:04:49.055555,28.2013886,83.9415851
3233,2019-01-07 00:04:49.888888,28.2014506,83.941758
3233,2019-01-07 00:04:50.444444,28.2014418,83.9419068
3233,2019-01-07 00:04:50.166666,28.20144,83.9418505
3233,2019-01-07 00:04:51.000000,28.2015499,83.94213
3233,2019-01-07 00:04:50.722222,28.2014772,83.9419953
3233,2019-01-07 00:04:51.555554,28.2017076,83.9423632
3233,2019-01-07 00:04:51.370369,28.2016207,83.9422366
3233,2019-01-07 00:04:51.185184,28.2015833,83.9421803
3233,2019-01-07 00:04:50.999999,28.2015499,83.94213
3233,2019-01-07 00:04:52.111111,28.2017076,83.9424457
3233,2019-01-07 00:04:51.555555,28.2017076,83.9423632
3233,2019-01-07 00:04:52.666667,28.201603,83.9426689
3233,2019-01-07 00:04:52.388889,28.2016526,83.9425824
3233,2019-01-07 00:04:53.222222,28.2016243,83.9427593
3233,2019-01-07 00:04:52.666666,28.201603,83.9426689
3233,2019-01-07 00:04:53.777777,28.2016172,83.9428719
3233,2019-01-07 00:04:54.333333,28.2015215,83.9429323
3233,2019-01-07 00:04:54.888888,28.2014311,83.9430449
3233,2019-01-07 00:04:55.444444,28.2013939,83.9431273
3233,2019-01-07 00:04:56.085106,28.201144,83.9434294
3233,2019-01-07 00:04:55.871552,28.2012114,83.9432701
